iter	Passed	Remaining
0	7	718
1	13	678
2	20	661
3	27	656
4	33	644
5	41	652
6	48	645
7	55	642
8	62	636
9	70	631
10	77	629
11	86	632
12	93	624
13	99	613
14	107	607
15	113	598
16	120	589
17	127	580
18	133	570
19	140	563
20	147	554
21	153	544
22	160	536
23	168	532
24	178	535
25	187	533
26	194	525
27	200	515
28	207	508
29	214	500
30	221	493
31	228	484
32	234	476
33	241	469
34	247	460
35	254	452
36	261	444
37	269	439
38	276	432
39	282	424
40	289	417
41	296	408
42	303	401
43	310	394
44	316	386
45	323	379
46	328	370
47	336	364
48	343	357
49	351	351
50	358	344
51	366	338
52	373	331
53	380	324
54	387	317
55	394	309
56	401	303
57	408	295
58	415	288
59	421	281
60	428	273
61	435	266
62	442	259
63	448	252
64	454	244
65	461	237
66	470	231
67	476	224
68	484	217
69	490	210
70	497	203
71	504	196
72	511	189
73	517	181
74	524	174
75	532	168
76	538	160
77	545	153
78	553	147
79	559	139
80	567	133
81	573	125
82	581	119
83	588	112
84	594	104
85	601	97
86	607	90
87	614	83
88	621	76
89	627	69
90	635	62
91	642	55
92	649	48
93	656	41
94	664	34
95	672	28
96	680	21
97	687	14
98	696	7
99	704	0
